0,Dan,Ham,17,6,2016,PA,825,2016-06-17
1,Claire,Fish,28,11,2016,CT,84,2016-11-28
2,Dan,Apple,12,11,2017,CT,973,2017-11-12
3,Chae,Jellies,13,10,2016,NJ,756,2016-10-13
4,Chae,Ham,11,4,2017,NY,464,2017-04-11
5,Mia,Fish,25,9,2017,NJ,56,2017-09-25
6,Mia,Dates,15,7,2018,PA,523,2018-07-15
7,Claire,Fish,26,11,2018,CT,763,2018-11-26
8,Dan,Butter,4,2,2018,NJ,419,2018-02-04
9,Sam,Jellies,5,7,2020,PA,156,2020-07-05
10,Wally,Cherry,3,4,2020,CT,664,2020-04-03
11,Chae,Apple,2,12,2017,NJ,567,2017-12-02
12,Helen,Butter,28,7,2020,PA,337,2020-07-28
13,Chae,Eggs,2,2,2018,CT,665,2018-02-02
14,Wally,Cherry,29,5,2017,NY,738,2017-05-29
15,Dan,Dates,31,5,2019,CT,484,2019-05-31
16,Chae,Dates,17,6,2020,NJ,584,2020-06-17
17,Dan,Grapes,11,9,2018,CT,966,2018-09-11
18,Wally,Ham,18,10,2018,NY,461,2018-10-18
19,Helen,Ham,15,11,2019,CT,392,2019-11-15
20,Helen,Grapes,10,12,2018,PA,545,2018-12-10
21,Claire,Grapes,1,10,2017,CT,477,2017-10-01
22,Helen,Ham,24,8,2017,NJ,826,2017-08-24
23,Helen,Cherry,30,6,2018,CT,226,2018-06-30
24,Emily,Cherry,22,1,2018,NY,306,2018-01-22
25,Dan,Fish,1,12,2017,NJ,184,2017-12-01
26,Sam,Ham,29,3,2018,CT,735,2018-03-29
27,Sam,Ice,7,8,2017,CT,353,2017-08-07
28,Claire,Jellies,1,11,2019,CT,200,2019-11-01
29,Helen,Ice,18,11,2018,NJ,704,2018-11-18
30,Wally,Ham,5,8,2018,NJ,907,2018-08-05
31,Dan,Apple,14,10,2020,PA,261,2020-10-14
32,Dan,Eggs,27,8,2019,PA,129,2019-08-27
33,Dan,Apple,16,3,2018,CT,61,2018-03-16
34,Claire,Jellies,18,10,2016,NY,677,2016-10-18
35,Claire,Butter,17,11,2019,NJ,833,2019-11-17
36,Mia,Eggs,23,1,2020,NJ,757,2020-01-23
37,Claire,Jellies,23,12,2017,CT,821,2017-12-23
38,Boo,Dates,4,3,2018,CT,808,2018-03-04
39,Dan,Jellies,20,1,2020,PA,972,2020-01-20
40,Sam,Grapes,10,7,2018,PA,518,2018-07-10
41,Mia,Eggs,9,6,2019,NJ,519,2019-06-09
42,Helen,Cherry,16,1,2017,CT,220,2017-01-16
43,Boo,Ham,21,1,2016,CT,983,2016-01-21
44,Chae,Butter,7,11,2020,NJ,347,2020-11-07
45,Mia,Jellies,26,5,2019,CT,628,2019-05-26
46,Emily,Ice,9,6,2016,CT,623,2016-06-09
47,Sam,Ham,21,12,2017,PA,293,2017-12-21
48,Emily,Ham,9,2,2016,CT,916,2016-02-09
49,Dan,Ice,5,5,2020,PA,442,2020-05-05
50,Claire,Cherry,28,8,2017,NY,961,2017-08-28
51,Chae,Butter,21,10,2019,CT,422,2019-10-21
52,Boo,Ice,30,1,2020,PA,642,2020-01-30
53,Boo,Dates,16,4,2016,PA,990,2016-04-16
54,Emily,Butter,13,8,2019,NJ,400,2019-08-13
55,Helen,Ham,5,3,2019,PA,578,2019-03-05
56,Chae,Ham,2,3,2018,NJ,700,2018-03-02
57,Claire,Cherry,8,5,2020,PA,373,2020-05-08
58,Claire,Apple,27,5,2019,NJ,328,2019-05-27
59,Chae,Ice,13,5,2017,NJ,413,2017-05-13
60,Sam,Cherry,13,8,2019,CT,814,2019-08-13
61,Helen,Cherry,10,4,2017,PA,981,2017-04-10
62,Boo,Fish,3,8,2019,CT,121,2019-08-03
63,Mia,Jellies,6,7,2018,NY,981,2018-07-06
64,Sam,Ham,30,3,2018,CT,50,2018-03-30
65,Dan,Dates,26,8,2020,NY,457,2020-08-26
66,Mia,Jellies,17,5,2016,NJ,3,2016-05-17
67,Mia,Fish,5,10,2016,CT,271,2016-10-05
68,Chae,Grapes,26,9,2020,CT,37,2020-09-26
69,Emily,Apple,21,12,2017,CT,662,2017-12-21
70,Helen,Ice,9,9,2020,NY,964,2020-09-09
71,Chae,Ice,23,11,2018,NY,998,2018-11-23
72,Wally,Grapes,28,6,2020,NY,414,2020-06-28
73,Boo,Apple,3,1,2018,NJ,759,2018-01-03
74,Sam,Grapes,13,5,2018,CT,740,2018-05-13
75,Emily,Ice,10,1,2020,NY,487,2020-01-10
76,Wally,Cherry,9,12,2018,NY,837,2018-12-09
77,Emily,Cherry,26,4,2020,CT,972,2020-04-26
78,Claire,Cherry,19,3,2017,CT,467,2017-03-19
79,Dan,Fish,13,7,2020,CT,602,2020-07-13
80,Helen,Ham,14,8,2018,CT,695,2018-08-14
81,Helen,Dates,23,9,2016,CT,923,2016-09-23
82,Sam,Dates,17,11,2018,PA,947,2018-11-17
83,Chae,Grapes,7,4,2017,NJ,69,2017-04-07
84,Mia,Butter,13,4,2017,NY,786,2017-04-13
85,Sam,Jellies,27,1,2017,PA,619,2017-01-27
86,Emily,Cherry,21,7,2018,NY,909,2018-07-21
87,Dan,Fish,6,11,2020,NJ,844,2020-11-06
88,Emily,Ham,20,4,2019,PA,816,2019-04-20
89,Wally,Dates,3,3,2016,NJ,643,2016-03-03
90,Chae,Fish,9,5,2018,NJ,598,2018-05-09
91,Mia,Ham,22,7,2019,NY,462,2019-07-22
92,Mia,Cherry,31,1,2018,NY,644,2018-01-31
93,Claire,Cherry,10,4,2016,CT,266,2016-04-10
94,Sam,Ice,10,5,2016,NY,913,2016-05-10
95,Chae,Apple,5,5,2016,PA,921,2016-05-05
96,Sam,Eggs,28,10,2016,CT,912,2016-10-28
97,Dan,Ham,22,6,2016,NJ,305,2016-06-22
98,Helen,Jellies,13,2,2017,CT,663,2017-02-13
99,Wally,Apple,22,4,2020,CT,553,2020-04-22
100,Claire,Cherry,9,7,2019,CT,707,2019-07-09
101,Claire,Ham,28,4,2019,NJ,878,2019-04-28
102,Boo,Eggs,16,12,2018,CT,727,2018-12-16
103,Mia,Butter,20,11,2018,PA,826,2018-11-20
104,Wally,Butter,15,3,2020,NJ,922,2020-03-15
105,Wally,Cherry,11,7,2016,NY,319,2016-07-11
106,Emily,Cherry,6,2,2019,NY,735,2019-02-06
107,Helen,Cherry,17,6,2018,NY,924,2018-06-17
108,Emily,Apple,25,10,2020,NY,596,2020-10-25
109,Chae,Butter,27,1,2019,NJ,251,2019-01-27
110,Boo,Cherry,22,8,2017,PA,314,2017-08-22
111,Helen,Eggs,1,5,2019,CT,753,2019-05-01
112,Chae,Grapes,16,4,2016,CT,607,2016-04-16
113,Boo,Grapes,15,2,2017,CT,319,2017-02-15
114,Claire,Apple,14,4,2016,NY,435,2016-04-14
115,Wally,Dates,4,6,2017,NJ,438,2017-06-04
116,Sam,Cherry,5,2,2016,NJ,15,2016-02-05
117,Wally,Ice,18,7,2019,CT,641,2019-07-18
118,Wally,Ham,11,6,2019,NY,472,2019-06-11
119,Sam,Apple,30,9,2016,NJ,916,2016-09-30
120,Helen,Fish,28,7,2019,NJ,918,2019-07-28
121,Helen,Apple,12,8,2017,PA,260,2017-08-12
122,Chae,Butter,11,2,2019,PA,501,2019-02-11
123,Dan,Eggs,23,7,2017,PA,593,2017-07-23
124,Claire,Fish,21,3,2016,CT,964,2016-03-21
125,Emily,Fish,29,8,2020,CT,629,2020-08-29
126,Wally,Apple,3,8,2018,NY,773,2018-08-03
127,Sam,Ham,27,7,2020,CT,55,2020-07-27
128,Wally,Ham,27,11,2020,CT,804,2020-11-27
129,Boo,Eggs,31,1,2017,CT,608,2017-01-31
130,Mia,Cherry,17,5,2016,NJ,990,2016-05-17
131,Sam,Dates,20,8,2018,PA,289,2018-08-20
132,Wally,Dates,18,12,2018,PA,290,2018-12-18
133,Mia,Dates,19,3,2019,PA,634,2019-03-19
134,Dan,Cherry,30,6,2019,PA,487,2019-06-30
135,Helen,Butter,7,1,2017,CT,18,2017-01-07
136,Claire,Apple,13,11,2020,CT,240,2020-11-13
137,Sam,Jellies,1,5,2017,NY,453,2017-05-01
138,Boo,Apple,12,8,2020,PA,449,2020-08-12
139,Chae,Eggs,8,3,2020,NY,372,2020-03-08
140,Claire,Jellies,29,9,2018,NJ,777,2018-09-29
141,Sam,Cherry,28,6,2019,NY,284,2019-06-28
142,Dan,Ice,3,7,2016,NJ,365,2016-07-03
143,Boo,Cherry,8,9,2020,CT,2,2020-09-08
144,Emily,Dates,2,8,2017,NY,842,2017-08-02
145,Claire,Dates,4,2,2019,CT,127,2019-02-04
146,Helen,Eggs,12,11,2019,NJ,827,2019-11-12
147,Chae,Butter,9,2,2016,CT,943,2016-02-09
148,Dan,Ice,18,12,2019,PA,708,2019-12-18
149,Helen,Butter,8,10,2018,CT,12,2018-10-08
150,Chae,Butter,26,3,2018,CT,599,2018-03-26
151,Dan,Ham,5,8,2017,PA,231,2017-08-05
152,Claire,Dates,15,3,2020,NY,539,2020-03-15
153,Wally,Fish,22,3,2017,PA,545,2017-03-22
154,Mia,Butter,6,7,2018,NJ,477,2018-07-06
155,Chae,Ham,29,7,2020,NY,329,2020-07-29
156,Dan,Apple,14,5,2016,CT,380,2016-05-14
157,Dan,Butter,1,6,2018,NY,540,2018-06-01
158,Boo,Apple,24,2,2018,NY,692,2018-02-24
159,Mia,Jellies,14,8,2018,CT,924,2018-08-14
160,Mia,Dates,13,5,2019,NY,810,2019-05-13
161,Sam,Jellies,11,12,2020,CT,395,2020-12-11
162,Boo,Dates,30,9,2020,NY,403,2020-09-30
163,Dan,Ham,22,6,2018,PA,890,2018-06-22
164,Dan,Fish,12,10,2020,CT,986,2020-10-12
165,Chae,Ice,28,7,2017,CT,447,2017-07-28
166,Emily,Ham,1,4,2017,NJ,200,2017-04-01
167,Helen,Grapes,17,1,2019,NY,205,2019-01-17
168,Sam,Eggs,18,7,2019,NJ,276,2019-07-18
169,Chae,Grapes,28,9,2018,NY,52,2018-09-28
170,Wally,Ham,28,1,2017,CT,322,2017-01-28
171,Dan,Butter,11,8,2019,NY,491,2019-08-11
172,Sam,Ham,1,8,2018,PA,834,2018-08-01
173,Chae,Grapes,31,12,2018,NJ,771,2018-12-31
174,Helen,Jellies,2,1,2017,NY,783,2017-01-02
175,Emily,Cherry,25,1,2017,NJ,560,2017-01-25
176,Mia,Ice,17,9,2019,PA,642,2019-09-17
177,Claire,Grapes,3,2,2017,PA,288,2017-02-03
178,Claire,Apple,17,11,2019,NJ,314,2019-11-17
179,Emily,Eggs,19,2,2016,PA,233,2016-02-19
180,Sam,Jellies,8,8,2019,NY,145,2019-08-08
181,Wally,Grapes,16,3,2019,CT,157,2019-03-16
182,Boo,Eggs,18,11,2017,NJ,410,2017-11-18
183,Boo,Apple,28,9,2020,NY,142,2020-09-28
184,Sam,Grapes,24,10,2016,CT,535,2016-10-24
185,Emily,Ham,2,10,2017,CT,895,2017-10-02
186,Wally,Fish,13,2,2018,NJ,153,2018-02-13
187,Chae,Fish,27,7,2020,PA,624,2020-07-27
188,Claire,Butter,8,3,2016,NY,938,2016-03-08
189,Wally,Jellies,6,3,2017,NJ,695,2017-03-06
190,Claire,Fish,18,2,2018,NY,636,2018-02-18
191,Sam,Dates,29,4,2020,NJ,726,2020-04-29
192,Boo,Apple,14,4,2019,NY,879,2019-04-14
193,Emily,Ham,27,10,2017,NJ,152,2017-10-27
194,Emily,Dates,17,5,2019,PA,481,2019-05-17
195,Mia,Eggs,15,5,2017,NJ,81,2017-05-15
196,Wally,Eggs,14,9,2018,NY,744,2018-09-14
197,Wally,Ham,22,5,2016,CT,156,2016-05-22
198,Dan,Grapes,6,6,2018,PA,615,2018-06-06
199,Claire,Cherry,14,4,2018,CT,6,2018-04-14
200,Helen,Dates,8,8,2017,NY,648,2017-08-08
201,Emily,Fish,16,8,2017,NY,190,2017-08-16
202,Wally,Ice,11,5,2020,NY,141,2020-05-11
203,Boo,Dates,7,12,2019,NJ,794,2019-12-07
204,Claire,Dates,8,12,2016,NY,5,2016-12-08
205,Wally,Eggs,19,5,2017,PA,658,2017-05-19
206,Claire,Eggs,18,9,2019,CT,75,2019-09-18
207,Emily,Eggs,25,1,2016,NY,464,2016-01-25
208,Dan,Ice,9,5,2019,NJ,491,2019-05-09
209,Emily,Eggs,4,10,2018,PA,550,2018-10-04
210,Mia,Butter,28,4,2017,CT,759,2017-04-28
211,Claire,Ham,3,10,2019,CT,949,2019-10-03
212,Helen,Eggs,27,12,2020,CT,268,2020-12-27
213,Emily,Fish,31,5,2019,PA,71,2019-05-31
214,Dan,Fish,29,12,2019,PA,77,2019-12-29
215,Chae,Butter,31,5,2018,NJ,565,2018-05-31
216,Claire,Apple,12,4,2016,NJ,776,2016-04-12
217,Boo,Jellies,14,12,2019,NJ,896,2019-12-14
218,Sam,Cherry,13,11,2019,CT,909,2019-11-13
219,Sam,Cherry,11,3,2018,PA,800,2018-03-11
220,Emily,Dates,25,3,2020,NY,187,2020-03-25
221,Emily,Ham,23,2,2018,NJ,495,2018-02-23
222,Boo,Grapes,30,4,2019,CT,998,2019-04-30
223,Wally,Cherry,23,12,2016,PA,828,2016-12-23
224,Boo,Eggs,9,9,2018,NJ,609,2018-09-09
225,Mia,Ham,22,6,2017,NY,894,2017-06-22
226,Chae,Apple,14,6,2019,NY,900,2019-06-14
227,Boo,Ice,23,9,2019,PA,977,2019-09-23
228,Emily,Eggs,23,11,2016,NJ,957,2016-11-23
229,Sam,Ham,26,1,2017,NY,517,2017-01-26
230,Mia,Grapes,2,9,2017,NY,72,2017-09-02
231,Mia,Cherry,26,11,2020,NJ,627,2020-11-26
232,Boo,Apple,10,12,2017,NY,575,2017-12-10
233,Boo,Jellies,20,2,2018,NY,498,2018-02-20
234,Dan,Ham,19,1,2016,NJ,893,2016-01-19
235,Claire,Dates,7,5,2017,NJ,779,2017-05-07
236,Dan,Ham,3,2,2019,PA,515,2019-02-03
237,Mia,Jellies,4,5,2017,NY,519,2017-05-04
238,Mia,Jellies,7,12,2019,PA,371,2019-12-07
239,Claire,Grapes,29,3,2018,CT,654,2018-03-29
240,Emily,Ham,20,6,2019,CT,339,2019-06-20
241,Wally,Jellies,18,2,2017,PA,689,2017-02-18
242,Mia,Eggs,30,1,2018,CT,431,2018-01-30
243,Wally,Apple,30,9,2020,NY,130,2020-09-30
244,Chae,Dates,9,3,2019,PA,488,2019-03-09
245,Boo,Apple,6,3,2020,CT,849,2020-03-06
246,Claire,Eggs,13,8,2018,PA,719,2018-08-13
247,Mia,Grapes,8,11,2018,NY,595,2018-11-08
248,Helen,Ice,25,2,2020,CT,165,2020-02-25
249,Claire,Butter,2,9,2016,CT,727,2016-09-02
250,Dan,Cherry,30,1,2017,NJ,923,2017-01-30
251,Chae,Eggs,7,1,2019,NY,691,2019-01-07
252,Helen,Grapes,4,9,2019,PA,746,2019-09-04
253,Chae,Dates,20,10,2017,NJ,829,2017-10-20
254,Wally,Fish,30,8,2016,PA,307,2016-08-30
255,Wally,Cherry,19,1,2017,NY,145,2017-01-19
256,Sam,Jellies,24,11,2016,PA,255,2016-11-24
257,Helen,Grapes,9,9,2020,CT,88,2020-09-09
258,Chae,Butter,22,9,2016,NJ,474,2016-09-22
259,Helen,Jellies,9,5,2017,NY,976,2017-05-09
260,Emily,Jellies,11,11,2018,PA,592,2018-11-11
261,Mia,Dates,2,5,2016,NJ,510,2016-05-02
262,Sam,Dates,24,12,2018,CT,532,2018-12-24
263,Dan,Ice,15,8,2016,NY,340,2016-08-15
264,Claire,Butter,15,2,2016,CT,338,2016-02-15
265,Boo,Dates,6,3,2016,PA,962,2016-03-06
266,Helen,Dates,10,2,2020,CT,12,2020-02-10
267,Emily,Ice,28,4,2018,NJ,858,2018-04-28
268,Chae,Eggs,2,8,2016,PA,432,2016-08-02
269,Claire,Fish,18,7,2016,NY,849,2016-07-18
270,Wally,Cherry,12,12,2017,CT,53,2017-12-12
271,Wally,Grapes,24,6,2016,CT,524,2016-06-24
272,Dan,Eggs,2,12,2017,PA,851,2017-12-02
273,Claire,Butter,16,5,2020,CT,33,2020-05-16
274,Wally,Butter,29,7,2020,CT,824,2020-07-29
275,Sam,Ice,19,12,2017,NY,898,2017-12-19
